#115,,
#Match46,,
33.36,23.22,1569718404.4
33.27,23.23,1569718404.5
33.13,23.21,1569718404.6
32.88,23.10,1569718404.7
32.48,22.92,1569718404.8
32.05,22.73,1569718404.9
31.54,22.49,1569718405.0
30.90,22.18,1569718405.1
30.22,21.97,1569718405.2
29.40,21.76,1569718405.3
28.70,21.68,1569718405.4
27.95,21.65,1569718405.5
27.18,21.59,1569718405.6
26.40,21.63,1569718405.7
25.72,21.58,1569718405.8
25.20,21.64,1569718405.9
24.73,21.68,1569718406.0
24.17,21.65,1569718406.1
23.47,21.73,1569718406.2
22.95,21.76,1569718406.3
22.43,21.83,1569718406.4
21.91,21.80,1569718406.5
21.24,21.91,1569718406.6
20.77,21.99,1569718406.7
20.55,22.02,1569718406.8
20.35,21.97,1569718406.9
20.07,21.97,1569718407.0
19.77,22.04,1569718407.1
19.56,21.79,1569718407.2
19.31,21.48,1569718407.3
18.94,21.15,1569718407.4
18.58,20.89,1569718407.5
18.08,20.64,1569718407.6
17.63,20.24,1569718407.7
17.20,19.92,1569718407.8
16.68,19.76,1569718407.9
16.09,19.83,1569718408.0
15.65,19.95,1569718408.1
15.54,19.91,1569718408.2
15.34,20.07,1569718408.3
15.14,20.18,1569718408.4
14.88,20.28,1569718408.5
14.68,20.09,1569718408.6
14.29,19.82,1569718408.7
13.68,19.59,1569718408.8
13.07,19.29,1569718408.9
12.38,19.00,1569718409.0
11.97,18.49,1569718409.1
11.74,17.95,1569718409.2
11.64,17.25,1569718409.3
11.59,16.64,1569718409.4
11.61,15.92,1569718409.5
11.88,15.18,1569718409.6
12.05,14.53,1569718409.7
12.25,13.96,1569718409.8
12.38,13.51,1569718409.9
12.57,12.93,1569718410.0
12.76,12.40,1569718410.1
12.75,11.90,1569718410.2
12.84,11.50,1569718410.3
12.96,11.18,1569718410.4
13.08,10.86,1569718410.5
13.28,10.58,1569718410.6
13.53,10.26,1569718410.7
13.79,9.97,1569718410.8
13.94,9.54,1569718410.9
13.94,9.02,1569718411.0
14.07,8.46,1569718411.1
14.12,7.93,1569718411.2
14.08,7.45,1569718411.3
13.99,6.98,1569718411.4
13.67,6.53,1569718411.5
13.67,6.26,1569718411.6
13.60,6.19,1569718411.7
13.52,6.21,1569718411.8
13.35,6.29,1569718411.9
13.35,6.56,1569718412.0
13.64,7.06,1569718412.1
13.65,7.41,1569718412.2
13.53,7.75,1569718412.3
13.31,7.92,1569718412.4
12.91,7.76,1569718412.5
12.85,7.74,1569718412.6
12.85,7.52,1569718412.7
12.91,7.20,1569718412.8
13.20,6.80,1569718412.9
13.60,6.44,1569718413.0
14.34,6.41,1569718413.1
14.63,6.18,1569718413.2
14.87,5.96,1569718413.3
15.14,5.85,1569718413.4
15.36,5.78,1569718413.5
15.57,5.65,1569718413.6
15.80,5.48,1569718413.7
16.11,5.26,1569718413.8
16.40,5.07,1569718413.9
16.61,4.82,1569718414.0
16.79,4.58,1569718414.1
16.98,4.41,1569718414.2
17.12,4.38,1569718414.3
17.22,4.29,1569718414.4
17.28,4.26,1569718414.5
17.33,4.29,1569718414.6
17.22,4.27,1569718414.7
17.16,4.40,1569718414.8
16.92,4.43,1569718414.9
16.79,4.78,1569718415.0
16.61,5.23,1569718415.1
16.35,5.66,1569718415.2
16.20,6.09,1569718415.3
16.04,6.42,1569718415.4
16.23,6.80,1569718415.5
16.21,6.87,1569718415.6
16.32,6.84,1569718415.7
16.62,6.74,1569718415.8
16.62,6.68,1569718415.9
16.67,6.56,1569718416.0
16.58,6.60,1569718416.1
16.53,6.60,1569718416.2
16.41,6.68,1569718416.3
16.38,6.98,1569718416.4
16.57,7.34,1569718416.5
16.72,7.78,1569718416.6
16.78,8.23,1569718416.7
16.80,8.85,1569718416.8
16.53,9.44,1569718416.9
16.20,10.06,1569718417.0
15.82,10.75,1569718417.1
15.43,11.37,1569718417.2
15.04,11.73,1569718417.3
14.77,12.04,1569718417.4
14.85,12.26,1569718417.5
14.79,12.37,1569718417.6
14.97,12.30,1569718417.7
15.12,12.19,1569718417.8
15.56,12.09,1569718417.9
15.90,11.91,1569718418.0
16.13,11.72,1569718418.1
16.41,11.51,1569718418.2
16.50,11.37,1569718418.3
16.61,11.29,1569718418.4
16.61,11.19,1569718418.5
16.69,11.00,1569718418.6
16.81,10.86,1569718418.7
16.84,10.68,1569718418.8
16.86,10.56,1569718418.9
16.70,10.48,1569718419.0
16.49,10.29,1569718419.1
16.22,10.15,1569718419.2
15.81,10.01,1569718419.3
15.33,9.88,1569718419.4
14.86,9.64,1569718419.5
14.52,9.39,1569718419.6
14.03,9.30,1569718419.7
13.62,8.99,1569718419.8
13.30,8.60,1569718419.9
13.05,8.13,1569718420.0
12.75,7.93,1569718420.1
12.42,7.68,1569718420.2
12.37,6.97,1569718420.3
12.29,6.53,1569718420.4
12.26,6.20,1569718420.5
12.26,5.97,1569718420.6
12.35,5.52,1569718420.7
12.52,5.13,1569718420.8
12.56,5.31,1569718420.9
12.62,5.66,1569718421.0
12.76,5.92,1569718421.1
12.97,5.98,1569718421.2
13.24,5.93,1569718421.3
13.52,5.80,1569718421.4
13.80,5.60,1569718421.5
14.06,5.21,1569718421.6
14.27,4.89,1569718421.7
14.43,4.79,1569718421.8
14.55,4.80,1569718421.9
14.70,4.82,1569718422.0
14.86,4.84,1569718422.1
15.02,4.87,1569718422.2
15.19,4.90,1569718422.3
15.35,4.89,1569718422.4
15.55,4.80,1569718422.5
15.78,4.68,1569718422.6
16.03,4.54,1569718422.7
16.25,4.40,1569718422.8
16.42,4.30,1569718422.9
16.60,4.11,1569718423.0
16.70,3.98,1569718423.1
16.73,3.94,1569718423.2
16.68,3.95,1569718423.3
16.57,3.94,1569718423.4
16.43,3.78,1569718423.5
16.18,3.79,1569718423.6
15.95,3.88,1569718423.7
